"filename", "language", "YAML", "Dockerfile", "JSON", "JavaScript", "Shell Script", "HTML", "XML", "SCSS", "Go", "Properties", "JavaScript React", "comment", "blank", "total"
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/members/[member].js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/members/index.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/funnels/[funnel].js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/funnels/index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/recordings/[recording]/tracks.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/recordings/index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/recordings/settings.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/[project]/tracks/[track].js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ankit.gautam/rhba/pages/api/teams/[team]/projects/index.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/ankit.gautam/rhba/pages/api/teams/index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/ankit.gautam/rhba/pages/api/users/current.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/ankit.gautam/rhba/pages/api/users/projects.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 2, 37
"/Users/ankit.gautam/rhba/pages/api/users/teams.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ankit.gautam/rhba/pages/dashboard/new.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/dashboard/overview.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/dashboard/teams.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ankit.gautam/rhba/pages/login.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/ankit.gautam/rhba/sass/colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/ankit.gautam/rhba/sass/global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/ankit.gautam/rhba/scene/comps/dashboardSidebar/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"/Users/ankit.gautam/rhba/scene/comps/header/index.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/ankit.gautam/rhba/scene/comps/header/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/Users/ankit.gautam/rhba/scene/comps/layout/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"/Users/ankit.gautam/rhba/scene/comps/sidebar/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"/Users/ankit.gautam/rhba/scene/comps/sidebar/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 2, 42
"/Users/ankit.gautam/rhba/scene/dashboard/comps/CreateProject/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 3, 88
"/Users/ankit.gautam/rhba/scene/dashboard/comps/CreateTeam/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 2, 56
"/Users/ankit.gautam/rhba/scene/dashboard/comps/sidebar/index.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/ankit.gautam/rhba/scene/dashboard/new.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 1, 5, 88
"/Users/ankit.gautam/rhba/scene/dashboard/overview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 1, 5, 103
"/Users/ankit.gautam/rhba/scene/dashboard/teams.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 1, 6, 91
"/Users/ankit.gautam/rhba/scene/funnels/comps/create.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 2, 39
"/Users/ankit.gautam/rhba/scene/funnels/comps/form-url.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 3, 2, 100
"/Users/ankit.gautam/rhba/scene/funnels/comps/funnels.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 3, 1, 44
"/Users/ankit.gautam/rhba/scene/funnels/create.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 1, 4, 83
"/Users/ankit.gautam/rhba/scene/funnels/funnels.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 1, 9, 98
"/Users/ankit.gautam/rhba/scene/projects/comps/sidebar/index.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/ankit.gautam/rhba/scene/projects/summary.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 6, 71
"/Users/ankit.gautam/rhba/scene/recordings/comps/edit.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 3, 86
"/Users/ankit.gautam/rhba/scene/recordings/comps/form-url.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 3, 2, 104
"/Users/ankit.gautam/rhba/scene/recordings/comps/recordings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 3, 1, 48
"/Users/ankit.gautam/rhba/scene/recordings/comps/track.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5, 1, 30
"/Users/ankit.gautam/rhba/scene/recordings/comps/tracks.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 3, 1, 62
"/Users/ankit.gautam/rhba/scene/recordings/recordings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 1, 8, 132
"/Users/ankit.gautam/rhba/scene/recordings/settings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 1, 9, 91
"/Users/ankit.gautam/rhba/scene/recordings/track.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 1, 8, 82
"/Users/ankit.gautam/rhba/scene/recordings/tracks.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 1, 8, 96
"/Users/ankit.gautam/rhba/scene/teams/comps/AddMember/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 3, 71
"/Users/ankit.gautam/rhba/scene/teams/comps/DeleteTeam/index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 4, 55
